Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_21_145,VGND,li1,73.1400,70.7200,0.001052
FILLER_21_133,VGND,li1,67.3900,70.7200,0.001007
FILLER_21_125,VGND,li1,64.8600,70.7200,0.000985
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000890
FILLER_21_109,VGND,li1,56.3500,70.7200,0.000838
FILLER_21_101,VGND,li1,53.8200,70.7200,0.000795
FILLER_21_89,VGND,li1,47.1500,70.7200,0.000679
FILLER_21_81,VGND,li1,44.6200,70.7200,0.000628
FILLER_21_69,VGND,li1,40.0200,70.7200,0.000517
FILLER_21_57,VGND,li1,34.5000,70.7200,0.000444
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000379
FILLER_21_49,VGND,li1,29.4400,70.7200,0.000316
FILLER_21_37,VGND,li1,25.3000,70.7200,0.000266
FILLER_21_15,VGND,li1,13.8000,70.7200,0.000246
FILLER_21_3,VGND,li1,9.6600,70.7200,0.000246
FILLER_20_253,VGND,li1,122.8200,65.2800,0.001001
FILLER_20_248,VGND,li1,120.5200,65.2800,0.001001
FILLER_20_227,VGND,li1,110.1700,65.2800,0.000985
FILLER_20_221,VGND,li1,108.5600,65.2800,0.000980
FILLER_20_209,VGND,li1,104.4200,65.2800,0.000970
FILLER_20_197,VGND,li1,98.9000,65.2800,0.000956
FILLER_20_193,VGND,li1,94.9900,65.2800,0.000937
FILLER_20_184,VGND,li1,91.5400,65.2800,0.000926
FILLER_20_180,VGND,li1,88.5500,65.2800,0.000911
FILLER_20_157,VGND,li1,77.9700,65.2800,0.000821
FILLER_20_153,VGND,li1,76.8200,65.2800,0.000821
FILLER_20_141,VGND,li1,73.1400,65.2800,0.000787
FILLER_20_137,VGND,li1,69.2300,65.2800,0.000749
FILLER_20_129,VGND,li1,66.7000,65.2800,0.000712
FILLER_20_117,VGND,li1,60.0300,65.2800,0.000655
FILLER_20_109,VGND,li1,57.5000,65.2800,0.000610
FILLER_20_97,VGND,li1,52.9000,65.2800,0.000548
FILLER_20_85,VGND,li1,47.3800,65.2800,0.000499
FILLER_20_80,VGND,li1,43.2400,65.2800,0.000445
FILLER_20_65,VGND,li1,36.8000,65.2800,0.000338
FILLER_20_46,VGND,li1,27.3700,65.2800,0.000213
FILLER_20_38,VGND,li1,24.8400,65.2800,0.000162
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000163
FILLER_20_15,VGND,li1,15.1800,65.2800,0.000163
FILLER_20_3,VGND,li1,9.6600,65.2800,0.000163
